id,name,department,deviation_value,school_report_ratio,selection_criteria_url,has_school_selection_exam,created_at,updated_at,type
1,大宮高等学校,理数科,74,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
2,浦和高等学校,普通科（単位制）,73,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
3,浦和第一女子高等学校,普通科,72,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
4,大宮高等学校,普通科,71,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
5,さいたま市立浦和高等学校,普通科,70,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
6,春日部高等学校,普通科,69,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
7,川越高等学校,普通科（単位制）,69,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
8,川越女子高等学校,普通科,68,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
9,越谷北高等学校,理数科,68,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
10,所沢北高等学校,理数科,67,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
11,蕨高等学校,普通科,67,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
12,浦和西高等学校,普通科,66,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
13,越谷北高等学校,普通科,66,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
14,所沢北高等学校,普通科,66,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
15,不動岡高等学校,普通科[単位制],66,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
16,川口北高等学校,普通科,65,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
17,熊谷高等学校,普通科,65,2:02:05,https://www.pref.saitama.lg.jp/documents/255241/050kumagaya.pdf,1,2025/4/29 17:21,2025/4/29 18:01,公立
18,松山高等学校,理数科,65,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
19,越ヶ谷高等学校,普通科（単位制）,64,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
20,蕨高等学校,外国語科,64,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
21,熊谷西高等学校,理数科,64,1:01:02,https://www.pref.saitama.lg.jp/documents/255241/054kumagayanishi.pdf,1,2025/4/29 17:21,2025/4/29 19:54,公立
22,さいたま市立大宮北高等学校,理数科,64,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
23,熊谷女子高等学校,普通科,63,1:01:02,https://www.pref.saitama.lg.jp/documents/255241/053kumagayajyoshi.pdf,1,2025/4/29 17:21,2025/4/29 19:21,公立
24,熊谷西高等学校,普通科,62,1:01:02,https://www.pref.saitama.lg.jp/documents/255241/054kumagayanishi.pdf,1,2025/4/29 17:21,2025/4/29 19:55,公立
25,松山高等学校,普通科,61,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
26,和光国際高等学校,普通科,61,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
27,和光国際高等学校,外国語科,61,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
28,川口市立高等学校,理数科,61,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
29,川越南高等学校,普通科,60,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
30,越谷南高等学校,普通科,60,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
31,所沢高等学校,普通科,60,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
32,さいたま市立浦和南高等学校,普通科[単位制],60,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
33,さいたま市立大宮北高等学校,普通科,60,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
34,春日部女子高等学校,外国語科,60,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
35,伊奈学園総合高等学校,普通科,59,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
36,春日部東高等学校,普通科,59,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
37,坂戸高等学校,普通科,59,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
38,坂戸高等学校,外国語科,59,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
39,春日部東高等学校,人文科,59,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
40,大宮光陵高等学校,普通科,58,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
41,大宮光陵高等学校,普通科外国語コース,58,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
42,筑波大学附属坂戸高等学校,総合科学科,57,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
43,上尾高等学校,普通科,57,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
44,春日部女子高等学校,普通科,57,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
45,浦和北高等学校,普通科（単位制）,56,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
46,本庄高等学校,普通科[単位制],56,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
47,与野高等学校,普通科,56,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
48,川越市立川越高等学校,普通科,56,1:01:03,https://www.pref.saitama.lg.jp/documents/255241/130kawagoeitiritu.pdf,0,2025/4/29 17:21,2025/4/29 19:40,公立
49,常盤高等学校,看護科,56,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
50,越谷南高等学校,外国語科,56,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
51,川口高等学校,普通科,55,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
52,所沢西高等学校,普通科,55,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
53,松山女子高等学校,普通科,55,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
54,上尾高等学校,商業科,55,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
55,川口市立高等学校,普通科,55,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
56,朝霞高等学校,普通科（単位制）,54,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
57,久喜高等学校,普通科,54,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
58,杉戸高等学校,普通科,54,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
59,南稜高等学校,普通科,54,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
60,越谷総合技術高等学校,情報技術科,54,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
61,川越市立川越高等学校,情報処理科,54,1:01:03,https://www.pref.saitama.lg.jp/documents/255241/130kawagoeitiritu.pdf,0,2025/4/29 17:21,2025/4/29 19:40,公立
62,草加高等学校,普通科,53,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
63,秩父高等学校,普通科,53,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
64,川越市立川越高等学校,国際経済科,53,1:01:03,https://www.pref.saitama.lg.jp/documents/255241/130kawagoeitiritu.pdf,0,2025/4/29 17:21,2025/4/29 19:40,公立
65,越谷総合技術高等学校,食物調理科,53,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
66,草加南高等学校,外国語科,53,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
67,南稜高等学校,外国語科,53,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
68,大宮光陵高等学校,美術科,53,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
69,大宮光陵高等学校,音楽科,53,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
70,芸術総合高等学校,映像芸術科,53,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
71,久喜北陽高等学校,総合学科[単位制],53,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
72,大宮南高等学校,普通科,52,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
73,越谷西高等学校,普通科,52,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
74,草加南高等学校,普通科,52,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
75,深谷第一高等学校,普通科,52,1:01:03,https://www.pref.saitama.lg.jp/documents/255241/108fukayadaiiti.pdf,0,2025/4/29 17:21,2025/4/29 19:43,公立
76,浦和商業高等学校,情報処理科,52,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
77,越谷総合技術高等学校,情報処理科,52,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
78,入間向陽高等学校,普通科,51,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
79,新座総合技術高等学校,食物調理科,51,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
80,大宮光陵高等学校,書道科,51,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
81,芸術総合高等学校,美術科,51,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
82,川口市立高等学校,普通科スポーツ科学コース,51,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
83,朝霞西高等学校,普通科,50,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
84,桶川高等学校,普通科,50,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
85,川越西高等学校,普通科,50,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
86,坂戸西高等学校,普通科（単位制）,50,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
87,草加東高等学校,普通科,50,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
88,豊岡高等学校,普通科[単位制],50,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
89,羽生第一高等学校,普通科,50,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
90,芸術総合高等学校,舞台芸術科,50,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
91,浦和商業高等学校,商業科,49,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
92,新座総合技術高等学校,服飾デザイン科,49,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
93,小川高等学校,普通科,48,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
94,鳩ヶ谷高等学校,普通科,48,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
95,越谷総合技術高等学校,電子機械科,48,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
96,新座総合技術高等学校,電子機械科,48,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
97,新座総合技術高等学校,情報技術科,48,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
98,新座総合技術高等学校,デザイン科,48,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
99,岩槻高等学校,国際文化科,48,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
100,滑川総合高等学校,総合学科（単位制）,48,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
101,浦和東高等学校,普通科,47,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
102,越谷東高等学校,普通科,47,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
103,志木高等学校,普通科,47,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
104,庄和高等学校,普通科,47,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
105,鷲宮高等学校,普通科,47,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
106,越谷総合技術高等学校,流通経済科,47,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
107,狭山経済高等学校,情報処理科,47,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
108,新座総合技術高等学校,総合ビジネス科,47,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
109,深谷商業高等学校,会計科,47,1:01:02,https://www.pref.saitama.lg.jp/documents/255241/107fukayasyougyou.pdf,0,2025/4/29 17:21,2025/4/29 19:42,公立
110,深谷商業高等学校,情報処理科,47,1:01:02,https://www.pref.saitama.lg.jp/documents/255241/107fukayasyougyou.pdf,0,2025/4/29 17:21,2025/4/29 19:42,公立
111,川越総合高等学校,総合学科（単位制）,47,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
112,進修館高等学校,総合学科（単位制）,47,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
113,大宮武蔵野高等学校,普通科,46,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
114,川口東高等学校,普通科,46,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
115,鴻巣高等学校,普通科,46,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
116,狭山清陵高等学校,普通科,46,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
117,所沢中央高等学校,普通科,46,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
118,三郷北高等学校,普通科,46,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
119,川越工業高等学校,デザイン科,46,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
120,川越工業高等学校,電気科,46,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
121,大宮商業高等学校,商業科,46,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
122,熊谷商業高等学校,総合ビジネス科,46,1:01:02,https://www.pref.saitama.lg.jp/documents/255241/052kumagayasyougyou.pdf,0,2025/4/29 17:21,2025/4/29 19:21,公立
123,狭山経済高等学校,流通経済科,46,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
124,鴻巣女子高等学校,保育科,46,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
125,越谷総合技術高等学校,服飾デザイン科,46,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
126,大宮東高等学校,普通科,45,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
127,松伏高等学校,普通科,45,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
128,春日部工業高等学校,建築科,45,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
129,川越工業高等学校,建築科,45,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
130,進修館高等学校,ものづくり科,45,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
131,鳩ヶ谷高等学校,情報処理科,45,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
132,上尾南高等学校,普通科,44,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
133,草加西高等学校,普通科,44,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
134,新座柳瀬高等学校,普通科（単位制）,44,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
135,飯能高等学校,普通科,44,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
136,松伏高等学校,普通科情報ビジネスコース,44,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
137,大宮工業高等学校,機械科,44,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
138,春日部工業高等学校,機械科,44,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
139,川越工業高等学校,機械科,44,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
140,川越工業高等学校,化学科,44,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
141,進修館高等学校,情報メディア科,44,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
142,三郷工業技術高等学校,情報電子科,44,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
143,狭山経済高等学校,会計科,44,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
144,所沢商業高等学校,情報処理科,44,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
145,鴻巣女子高等学校,家政科学科,44,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
146,越生高等学校,美術科,44,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
147,上尾鷹の台高等学校,普通科（単位制）,43,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
148,大宮東高等学校,体育科,43,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
149,川口青陵高等学校,普通科,43,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
150,白岡高等学校,普通科,43,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
151,深谷高等学校,普通科,43,1:01:02,https://www.pref.saitama.lg.jp/documents/255241/106fukaya.pdf,0,2025/4/29 17:21,2025/4/29 19:41,公立
152,大宮工業高等学校,電気科,43,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
153,大宮工業高等学校,建築科,43,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
154,熊谷工業高等学校,電気科,43,1:01:03,https://www.pref.saitama.lg.jp/documents/255241/051kumagayakougyou.pdf,0,2025/4/29 17:21,2025/4/29 19:19,公立
155,熊谷工業高等学校,建築科,43,1:01:03,https://www.pref.saitama.lg.jp/documents/255241/051kumagayakougyou.pdf,0,2025/4/29 17:21,2025/4/29 19:19,公立
156,熊谷工業高等学校,情報技術科,43,1:01:03,https://www.pref.saitama.lg.jp/documents/255241/051kumagayakougyou.pdf,0,2025/4/29 17:21,2025/4/29 19:20,公立
157,所沢商業高等学校,国際流通科,43,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
158,所沢商業高等学校,ビジネス会計科,43,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
159,松伏高等学校,音楽科,43,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
160,いずみ高等学校,生物系,43,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
161,いずみ高等学校,環境系,43,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
162,誠和福祉高等学校,総合学科（単位制）,43,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
163,寄居城北高等学校,総合学科（単位制）,43,1:01:03,https://www.pref.saitama.lg.jp/documents/255241/125yoriijyouhoku.pdf,0,2025/4/29 17:21,2025/4/29 19:39,公立
164,北本高等学校,普通科,42,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
165,児玉高等学校,普通科地域創造系,42,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
166,児玉高等学校,普通科スポーツ健康科学系,42,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
167,飯能高等学校南校舎,普通科スポーツコース,42,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
168,富士見高等学校,普通科,42,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
169,宮代高等学校,普通科,42,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
170,八潮南高等学校,普通科,42,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
171,熊谷農業高等学校,食品科学科,42,1:02:03,https://www.pref.saitama.lg.jp/documents/255241/055kumagayanougyou.pdf,0,2025/4/29 17:21,2025/4/29 19:34,公立
172,熊谷農業高等学校,生物生産工学科,42,1:02:03,https://www.pref.saitama.lg.jp/documents/255241/055kumagayanougyou.pdf,0,2025/4/29 17:21,2025/4/29 19:34,公立
173,熊谷農業高等学校,生活技術科,42,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
174,杉戸農業高等学校,生物生産技術科,42,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
175,杉戸農業高等学校,園芸科,42,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
176,杉戸農業高等学校,食品流通科,42,,,0,2025/4/29 17:21,2025/4/29 17:21,公立
